id,name,price,image,description,type,category,skin_types,personal_colors,number
1,헤라 블랙 쿠션(17N1),64000,20oily_base_hera-black-cushion.jpg,세미매트 피니쉬의 정석. 얇지만 강력한 커버력과 밀착력으로 무너짐 없이 깔끔한 피부를 유지해 줍니다.,쿠션,베이스,지성,,20
2,라네즈 네오 쿠션 매트 (17C1),30000,20oily_base_laneige-neo-cushion-matte.jpg,땀과 피지에 강한 스웻프루프 기능으로 여름철이나 활동량이 많은 날에도 처음 화장 그대로 유지해 줍니다.,쿠션,베이스,지성,,20
3,어뮤즈 듀 파워 비건 쿠션 (0.5 페어),36000,20oily_base_amuse-dew-power-vegan-cushion.jpg,속은 촉촉하지만 겉은 보송하게 마무리되어 속당김 없는 매트 표현을 하는 수부지 피부에도 적합합니다.,쿠션,베이스,지성,,20
4,정샘물 스킨 누더 커버레이어 쿠션 (19페어라이트),45000,20oily_base_jsm-skin-nuder-cover-layer-cushion.jpg,높은 커버력에도 뭉침 없이 얇게 레이어링 되며 촉촉한 에센스 블렌딩 파우더가 속건조 없이 편안한 세미 매트 피니쉬를 선사해줍니다.,쿠션,베이스,지성,,20
5,클리오 킬커버 스킨 픽서 쿠션 (19N포슬린),36000,20oily_base_clio-killcover-skin-fixer-cushion.jpg,모공 블러 효과로 얇고 가볍지만 확실한 결 커버가 되는 매트 쿠션,쿠션,베이스,지성,,20
6,VDL 커버 스테인 퍼펙팅 파운데이션 (A01 V01),32000,20oily_base_vdl-cover-stain-perfecting-foundation.jpg,에어리 포뮬러가 피부에 가볍게 밀착되어 답답함 없이 결점 없는 매끈한 피부를 완성해 줍니다.,파운데이션,베이스,지성,,20
7,에스티 로더 더블웨어 파운데이션 (1N0포슬린  1N1 아이보리 누드),91000,20oily_base_estee-lauder-double-wear-foundation.jpg,지성 파운데이션의 대명사. 24시간 지속되는 강력한 커버력과 세팅력으로 유분에도 무너지지 않습니다.,파운데이션,베이스,지성,,20
8,바닐라코 커버리셔스 파워 핏 파운데이션 (19라이트 21 아이보리),34000,20oily_base_banilaco-covericious-power-fit-foundation.jpg,강력한 커버력으로 모공과 요철을 촘촘하게 메워주며 파우더리한 마무리감을 선사합니다.,파운데이션,베이스,지성,,20
9,헤라 실키 스테이 24H 롱웨어 파운데이션 (19N1),70000,20oily_base_hera-silky-stay-24h-longwear-foundation.jpg,실크처럼 부드럽게 발리면서 보송하게 마무리되어 래 내 피부처럼 편안하고 고급스러운 피부를 연출합니다.,파운데이션,베이스,지성,,20
10,웨이크메이크 워터 벨벳 커버 파운데이션 (19호 포슬린),38000,20oily_base_wakemake-water-velvet-cover-foundation.jpg,바를 땐 촉촉하지만 마무리감은 벨벳처럼 보송하여 속건조를 느끼는 지성 피부에게 추천합니다.,파운데이션,베이스,지성,,20
11,정샘물 에센셜 스킨 누더 쿠션 (핑크라이트 엔라이트),45000,20dry_base_jsm-essential-skin-nuder-cushion.jpg,촉촉한 에센스 성분으로 본연의 피부 결을 살려주며 자연스럽고 건강한 윤광 피부를 연출해 줍니다.,쿠션,베이스,건성,,20
12,파넬 시카마누 세럼쿠션 (21호),32000,20dry_base_fanel-cicamano-serum-cushion.jpg,진정 성분이 함유된 세럼 제형으로 스킨케어 기능까지 더해 민감한 건성 피부에 영양감 있는 윤기를 부여합니다.,쿠션,베이스,건성,,20
13,에스쁘아 비글로우 볼륨 쿠션 (20호 바닐라),40000,20dry_base_espoir-be-glow-volume-cushion.jpg,속부터 차오르는 하이퍼 볼륨 광채와 플럼핑 효과로 피부를 매끈하고 촉촉하게 채워주는 수분 광채 글로우 쿠션,쿠션,베이스,건성,,20
14,클리오 킬커버 메쉬 글로우 에센셜 쿠션 (19C라이트 19N포슬린),36000,20dry_base_clio-killcover-mesh-glow-essential-cushion.jpg,핑크빛 생기광이 메쉬망을 통해 고르게 묻어나와 얇고 매끈하게 발리면서도 오래 지속되는 수분광과 화사한 커버력을 선사하는 글로우 쿠션,쿠션,베이스,건성,,20
15,퓌 쿠션 글래스 오리지널 (1.0 페어 글래스),26000,20dry_base_pui-cushion-glass-original.jpg,맑고 깨끗한 유리알 광채와 얇고 촉촉한 피부 표현을 선사하는 속광 쿠션,쿠션,베이스,건성,,20
16,에스쁘아 비글로우 파운데이션 (20c쿨바닐라),42000,20dry_base_espoir-be-glow-foundation.jpg,맑고 건강한 피부 광채를 연출해주는 세미-글로우 파운데이션,파운데이션,베이스,건성,,20
17,지베르니 밀착 커버 파운데이션 (17C 포슬린),33000,20dry_base_giverney-milchak-cover-foundation.jpg,얇고 가볍게 피부에 착-붙어 들뜸 없이 자연스러운 커버와 지속력을 선사하는 초경량 밀착 커버 파운데이션,파운데이션,베이스,건성,,20
18,웨이크메이크 워터 글로우 코팅 파운데이션 (19호 포슬린),38000,20dry_base_wakemake-water-glow-coating-foundation.jpg,물 머금은 듯 맑은 광채를 코팅하듯 표현하며 얇고 촉촉하게 발리면서도 답답함 없이 오랜 시간 광채를 유지하는 파운데이션,파운데이션,베이스,건성,,20
19,에스티로더 퓨처리스트 아쿠아 브릴리언스 파운데이션 (1C0 포슬린),88000,20dry_base_estee-lauder-futurist-aqua-brilliance-foundation.jpg,촉촉하고 얇게 발리면서도 하루 종일 은은하게 빛나는 광채를 선사하는 수분 광채 파운데이션,파운데이션,베이스,건성,,20
20,지베르니 듀이 글래시 파운데이션 (17C 포슬린),33000,20dry_base_giverney-dewy-glassy-foundation.jpg,가볍게 발라도 샵에서 받은 듯한 듀이한 속광과 24시간 지속되는 은은한 물빛 피부를 선사하는 파운데이션,파운데이션,베이스,건성,,20
21,이니스프리 라이트 글로우 쿠션 (21N 바닐라),26000,20sensitive_base_innisfree-light-glow-cushion.jpg,자연스러운 윤기와 편안한 사용감으로 피부에 스미듯 밀착되어 은은하게 빛나는 피부를 연출하는 쿠션,쿠션,베이스,민감성,,20
22,더랩 바이 블랑두 올리고 히알루론산 헬씨 크림 쿠션 (0호 퓨어 아이보리),28000,20sensitive_base_the-lab-by-blancdoux-oligo-hyaluronic-healthy-cream-cushion.jpg,저분자 히알루론산과 안심성분으로 가볍고 건강한 피부를 선사하는 쿠션,쿠션,베이스,민감성,,20
23,토니모리 마이 루미너스 젤 글로우 쿠션 (01 스킨베이지),32000,20sensitive_base_tonymoly-my-luminous-gel-glow-cushion.jpg,촘촘한 메쉬망을 통해 얇고 균일하게 발리면서 24시간 지속되는 탱글한 광채와 완벽한 커버력을 선사하는 비건 글로우 쿠션,쿠션,베이스,민감성,,20
24,아이소이 스킨케어 비건 쿠션,52300,20sensitive_base_isoi-skincare-vegan-cushion.jpg,스킨케어 성분과 식물 유래 오일을 함유하여 메이크업과 스킨케어를 동시에 하며 피부를 편안하게 유지시켜주는 쿠션,쿠션,베이스,민감성,,20
25,톤핏선 비건 베베 톤업 선쿠션,24000,20sensitive_base_tonefit-vegan-bebe-toneup-suncushion.jpg,피부를 자연스럽게 밝혀주는 비건 톤업 선케어 쿠션,쿠션,베이스,민감성,,20
26,시드물 민중기 EFI 앰플 파운데이션 (20호),34000,20sensitive_base_sidmool-minjoonggi-efi-ampoule-foundation-20.jpg,장벽 강화 효과가 있는 리페어 앰플을 함유하여 커버력과 밀착력을 더한 얇고 가벼운 제형의 파운데이션,파운데이션,베이스,민감성,,20
27,아떼 비건 릴리프 톤업 선비비,17000,20sensitive_base_athe-vegan-relief-toneup-sunbb.jpg,피치빛 톤업과 자외선 차단 피부톤 보정 효과를 한번에 제공하는 비건 선 비비,파운데이션,베이스,민감성,,20
28,마녀공장 파운데이션프리 선크림,28000,20sensitive_base_manyofactory-padefree-sunscreen.jpg,자외선 차단과 동시에 톤 보정 모공 커버 기능까지 갖춘 올인 비건 선크림,파운데이션,베이스,민감성,,20
29,코스노리 유어 스킨 드레스 비건 톤업 선 베이스,26000,20sensitive_base_cosnori-your-skin-dress-vegan-toneup-sun-base.jpg,자연스러운 톤업과 강력한 자외선 차단 효과를 제공하며 모공과 요철을 커버해 매끈한 피부 표현을 돕는 비건 톤업 선 베이스,파운데이션,베이스,민감성,,20
30,클리오 킬커버 하이 글로우 파운데이션 (2호 란제리),34000,20sensitive_base_clio-killcover-high-glow-foundation-2-lingerie.jpg,생크림처럼 부드러운 발림성으로 누구나 쉽게 사용할 수 있으며 피부에 탱글한 광채와 매끈한 커버를 선사하는 글로우 광채 파운데이션,파운데이션,베이스,민감성,,20
31,헤라 블랙 쿠션 (21N1 바닐라),52000,21oily_base_hera-black-cushiona.jpg,커버력 높음 · 피니시 세미매트 · 지속력 매우 좋음,쿠션,베이스,지성,,21
32,라네즈 네오 쿠션 매트 (21N1 베이지 / 21C1 쿨 베이지),30000,21oily_base_laneige-neo-cushion-matte.jpg,커버력 중상 · 피니시 매트 · 지속력 매우 좋음,쿠션,베이스,지성,,21
33,클리오 킬커버 파운웨어 쿠션 (리넨 21호),30000,21oily_base_clio-kill-cover-founwear-cushion.jpg,커버력 높음 · 피니시 세미매트 · 지속력 매우 좋음,쿠션,베이스,지성,,21
34,에스쁘아 프로 테일러 비 벨벳 커버 쿠션 (아이보리 21호),38000,21oily_base_espoir-pro-tailor-be-velvet-cover-cushion.jpg,커버력 중상 · 피니시 벨벳-매트 · 지속력 좋음,쿠션,베이스,지성,,21
35,웨이크메이크 심리스 웨어 쿠션 (21N 바닐라),36000,21oily_base_wakemake-seamless-wear-cushion.jpg,커버력 중상 · 피니시 내추럴-매트 · 지속력 좋음,쿠션,베이스,지성,,21
36,에스티로더 더블웨어 (1W1 Bone / 1C1 Cool Bone),91000,21oily_base_esteelauder-double-wear-foundation.jpg,커버력 높음 · 피니시 매트 · 지속력 매우 강함,파운데이션,베이스,지성,,21
37,헤라 실키 스테이 24H 롱웨어 파운데이션 (21N1),70000,21oily_base_hera-silky-stay-24h-longwear-foundation.jpg,커버력 중상 · 피니시 세미매트 · 지속력 매우 좋음,파운데이션,베이스,지성,,21
38,나스 소프트 매트 컴플리트 파운데이션 (Fiji / Vienna),68000,21oily_base_nars-soft-matte-complete-foundation.jpg,커버력 높음 · 피니시 매트 · 지속력 매우 좋음,파운데이션,베이스,지성,,21
39,로레알파리 인파러블 24H 프레시 웨어 (125 Natural Beige / 110 Light Vanilla),27000,21oily_base_lorealparis-infallible-24h-fresh-wear-foundation.jpg,커버력 중상 · 피니시 세미매트 · 지속력 매우 좋음,파운데이션,베이스,지성,,21
40,지베르니 밀착 커버 파운데이션 (라이트베이지 / 쿨베이지),33000,21oily_base_giverny-milchak-cover-foundation.jpg,커버력 중상 · 피니시 세미매트 · 지속력 좋음,파운데이션,베이스,지성,,21
41,라네즈 네오 쿠션 글로우 (21N1 베이지 / 21C1 쿨베이지),30000,21dry_base_laneige-neo-cushion-glow.jpg,커버력 중간 · 피니시 글로우 · 지속력 보통-좋음,쿠션,베이스,건성,,21
42,AGE 20’s 글래스 스킨 에센스 팩트 [글로우] (21호),38000,21dry_base_age20s-glass-skin-essence-pact.jpg,커버력 중하 · 피니시 촉촉 글로우 · 지속력 보통,쿠션,베이스,건성,,21
43,정샘물 에센셜 스킨 누더 쿠션 (라이트),45000,21dry_base_jungsaemmool-essential-skin-nuder-cushion-light.jpg,커버력 중간 · 피니시 내추럴-글로우 · 지속력 좋음,쿠션,베이스,건성,,21
44,어뮤즈 세라믹 스킨 퍼펙터 쿠션 (1.5 내추럴),38000,21dry_base_amuse-ceramic-skin-perfector-cushion-1-5-natural.jpg,커버력 중간 · 피니시 세미매트 속광 · 지속력 보통-좋음,쿠션,베이스,건성,,21
45,에뛰드 더블 래스팅 쿠션 글로우 (N21 뉴트럴베이지),24000,21dry_base_etude-double-lasting-cushion-glow-n21-neutralbeige.jpg,커버력 중간 · 피니시 글로우 · 지속력 보통,쿠션,베이스,건성,,21
46,바비 브라운 인텐시브 세럼 파운데이션 (2 Sand),102000,21dry_base_bobbibrown-intensive-serum-foundation-2-sand.jpg,커버력 중간 · 피니시 글로우 · 지속력 좋음,파운데이션,베이스,건성,,21
47,조르지오 아르마니 루미너스 실크 (3호),98000,21dry_base_giorgioarmani-luminous-silk-foundation-3.jpg,커버력 중간 · 피니시 새틴 · 지속력 보통-좋음,파운데이션,베이스,건성,,21
48,나스 라이트 리플렉팅 파운데이션 (Fiji / Vienna),84000,21dry_base_nars-light-reflecting-foundation.jpg,커버력 중간 · 피니시 내추럴-글로우 · 지속력 좋음,파운데이션,베이스,건성,,21
49,어뮤즈 세라믹 스킨 퍼펙터 파운데이션 (1.5 내추럴),19000,21dry_base_amuse-ceramic-skin-perfector-foundation-1-5-natural.jpg,커버력 중하~중 · 피니시 새틴-글로우 · 지속력 보통,파운데이션,베이스,건성,,21
50,에스쁘아 비글로우 파운데이션 (21N 아이보리),42000,21dry_base_espoir-be-glow-foundation-21n-ivory.jpg,커버력 중간 · 피니시 글로우 · 지속력 보통-좋음,파운데이션,베이스,건성,,21
51,파넬 시카마누 세럼 쿠션 매트 (21호 페어아이보리),51000,21sensitive_base_farnell-cicamanu-serum-cushion-matte-21-fairivory.jpg,커버력 중간 · 피니시 소프트-매트 · 지속력 좋음,쿠션,베이스,민감성,,21
52,파넬 세럼 인 하이글로우 쿠션 (21호 페어아이보리),39000,21sensitive_base_farnell-serum-in-high-glow-cushion-21-fairivory.jpg,커버력 중하 · 피니시 글로우 · 지속력 보통,쿠션,베이스,민감성,,21
53,아이오페 에어쿠션 스킨 릴리프 (21N 바닐라),42000,21sensitive_base_iope-air-cushion-skin-relief-21n-vanilla.jpg,커버력 중간 · 피니시 내추럴 · 지속력 좋음,쿠션,베이스,민감성,,21
54,힌스 세컨 스킨 글로우 쿠션 (21호 아이보리),34000,21sensitive_base_hince-second-skin-glow-cushion-21-ivory.jpg,커버력 중하~중 · 피니시 글로우(새틴) · 지속력 보통,쿠션,베이스,민감성,,21
55,이니스프리 노세범 파우더 쿠션 (21N 바닐라),26000,21sensitive_base_innisfree-no-sebum-powder-cushion-21n-vanilla.jpg,커버력 중간 · 피니시 세미매트~매트 · 지속력 좋음,쿠션,베이스,민감성,,21
56,클리니크 이븐 베터 클리니컬 세럼 파운데이션 (라이트),72000,21sensitive_base_clinique-even-better-clinical-serum-foundation-light.jpg,커버력 중간 · 피니시 새틴-내추럴 · 지속력 좋음,파운데이션,베이스,민감성,,21
57,베어미네랄 오리지널 리퀴드 미네랄 파운데이션 (Light 08),49000,21sensitive_base_bareminerals-original-liquid-mineral-foundation-light-08.jpg,커버력 중하~중 · 피니시 내추럴 · 지속력 보통,파운데이션,베이스,민감성,,21
58,메이크업포에버 HD 스킨 파운데이션 (1Y08 Warm Porcelain / 1R12 Cool Ivory),72000,21sensitive_base_makeupforever-hd-skin-foundation.jpg,커버력 중간 · 피니시 내추럴-세미매트 · 지속력 좋음,파운데이션,베이스,민감성,,21
59,정샘물 에센셜 스킨 누더 파운데이션 (라이트),45000,21sensitive_base_jungsaemmool-essential-skin-nuder-foundation-light.jpg,커버력 중간 · 피니시 내추럴-글로우 · 지속력 보통-좋음,파운데이션,베이스,민감성,,21
60,넘버즈인 3번 도자기결 파운데이션스킵 톤업 베이지 (베이지),26000,21sensitive_base_numbuzin-no-3-porcelain-base-skip-tone-up-beige.jpg,커버력 중하 · 피니시 내추럴-글로우 · 지속력 보통,파운데이션,베이스,민감성,,21
61,킬커버 메쉬 글로우 쿠션(3호 리넨),"36,000",22dry_base_KillCoverMeshGlowCushion.jpg,맑은 피부결을 연출하는 커버 글로우,쿠션,베이스,건성,,22
62,듀 파워 비건 쿠션(02 헬시),"58,000",22sensitive_base_DewPowerVeganCushion.jpg,건강하고 매끈한 윤결광 피부,쿠션,베이스,민감성,,22
63,마스크 핏 레드 쿠션(22C 피치베이지),"29,000",22dry_base_MaskFitRedCushion.jpg,단 한번의 터치로 완성하는 72시간 초밀착 윤광커버,쿠션,베이스,건성,,22
64,나이아시카 워터리 크림 쿠션(2호 베이지),"33,000",22sensitive_base_NiacicaWateryCreamCushion.jpg,스킨케어 성분이 70% 함유되어 촉촉하고 편안한 사용감,쿠션,베이스,민감성,,22
65,에센셜 스킨 누더 쿠션(미디엄),"45,000",22dry_base_EssentialSkinNuderCushion_medium.jpg,타고난 피부처럼 맑은 윤광을 더해주는 내추럴 커버 쿠션,쿠션,베이스,건성,,22
66,매직 스노우 쿠션 3.0(22호 핑크베이지),"33,000",22sensitive_base_MagicSnowCushion3_0.jpg,컨실러 필요없는 강력한 모공 잡티 커버,쿠션,베이스,민감성,,22
67,커버리셔스 얼티밋 화이트 쿠션 모이스처(22 내추럴),"30,000",22dry_base_CovericiousUltimateWhiteCushionMoisture.jpg,어떤 환경에서도 무너짐 없이 24시간 커버 지속,쿠션,베이스,건성,,22
68,픽싱 커버 핏 쿠션(22 바닐라),"38,000",22dry_base_FixingCoverFitCushion.jpg,하루종일 조명 받은 듯 온종일 첫 컬러 그대로 유지되는 고밀착 하이퍼 커버,쿠션,베이스,건성,,22
69,릴리피트 시카 클리어 쿠션(02 페탈아이보리),"34,000",22sensitive_base_LilyfitCicaClearCushion.jpg,시카' 성분이 포함되어 있어 민감한 피부를 진정시키고 보호하는 데 도움,쿠션,베이스,민감성,,22
70,쿠션 글래스 내추럴(02 누드글래스),"28,000",22sensitive_base_CushionGlassNatural.jpg,이탈리아 브이라벨 바건 인증한 자연스러운 피부 표현과 맑은 광채를 선사하는 쿠션,쿠션,베이스,민감성,,22
71,킬커버 파운웨어 더뉴쿠션(3호 리넨),"36,000",22oily_base_KillCoverFounwearTheNewCushion.jpg,얇지만 확실한 커버력과 세미매트한 마무리감이 특징,쿠션,베이스,지성,,22
72,프로테일러 비벨벳 커버 쿠션 뉴클래스(22호 페탈),"38,000",22oily_base_ProTailorBeVelvetCoverCushionNewClass.jpg,얇고 완벽한 커버로 완성하는 독보적인 피부 표현,쿠션,베이스,지성,,22
73,윙크 파운데이션 팩트(22호 커버샌드),"28,000",22oily_base_WinkFoundationPact.jpg,모공 끼임이나 들뜸 없이 피부에 밀착되어 오랜 시간 깔끔한 피부 표현을 유지,쿠션,베이스,지성,,22
74,듀 젤리 마스터 쿠션(02 헬시),"38,000",22oily_base_DewJellyMasterCushion.jpg,바를 때는 촉촉하지만 마무리는 보송한 벨벳 제형의 반전 쿠션,쿠션,베이스,지성,,22
75,누 제로 쿠션(03 내추럴21),"25,000",22oily_base_NuZeroCushion.jpg,보송한 마무리감으로 모공을 자연스럽게 커버,쿠션,베이스,지성,,22
76,커버스테인 퍼펙팅 파운데이션(V02),"30,000",22oily_base_CoverStainPerfectingFoundation.jpg,피부에 맞게 피팅되어 얇고 완벽한 베이스를 연출해주는 반전 피팅 파운데이션,파운데이션,베이스,지성,,22
77,커버리셔스 파워 핏 파운데이션(22 내추럴),"34,000",22oily_base_CovericiousPowerFitFoundation.jpg,모공과 요철 커버에 뛰어나며 세미매트한 마무리감으로 오랜 시간 깔끔한 피부를 유지,파운데이션,베이스,지성,,22
78,밀착 커버 파운데이션(22NW 내추럴베이지),"33,000",22oily_base_MilchakCoverFoundation.jpg,커버력이 좋으면서도 답답하지 않은 사용감,파운데이션,베이스,지성,,22
79,비벨벳 파운데이션(22C 쿨페탈),"42,000",22oily_base_BeVelvetFoundation.jpg,모공 컬러까지 보정하는 차세대 모공커버 파운데이션,파운데이션,베이스,지성,,22
80,롱래스팅 파운데이션(22호 베이지),"30,000",22oily_base_LongLastingFoundation.jpg,라이트하지만 정교한 텍스쳐로 완성하는 예쁜 결 피부,파운데이션,베이스,지성,,22
81,킬커버 하이글로우 파운데이션(3호 리넨),"34,000",22dry_base_KillCoverHighGlowFoundation.jpg,피부결이 살아있는 빛나는 탱글광 얇게 밀착되어 편하게 연출되는 파운데이션,파운데이션,베이스,건성,,22
82,워터 글로우 코팅 파운데이션(22호),"38,000",22dry_base_WaterGlowCoatingFoundation.jpg,보습 성분 함유로 스킨케어 한 듯 건강하고 투명한 모이스쳐 광채,파운데이션,베이스,건성,,22
83,스킨 누더 파운데이션(미디엄),"52,000",22dry_base_SkinNuderFoundation.jpg,어느 각도에서나 은은한 윤기를 주면서 건조하지 않고 들뜸없는 메이크업 효과,파운데이션,베이스,건성,,22
84,세럼 인 하이글로우 파운데이션(1호),"37,000",22dry_base_SerumInHighGlowFoundation.jpg,파운데이션의 완벽한 피부표현과 촉촉한 스킨케어의 장점을 섞다,파운데이션,베이스,건성,,22
85,듀이 글래시 파운데이션(21NW 라이트 베이지),"33,000",22dry_base_DewyGlassFoundation.jpg,물빛 피부에 머금은듯 24h 마르지 않는 은은한 속광,파운데이션,베이스,건성,,22
86,스킨 레이어 핏 파운데이션(AT.22 아이보리),"28,000",22oily_base_SkinLayerFitFoundation.jpg,내 피부처럼 한 겹 한 겹 편안하게 매끈 밀착 커버 파운데이션,파운데이션,베이스,지성,,22
87,비글로우 스틱 파운데이션(22호 페탈),"32,000",22oily_base_BeGlowStickFoundation.jpg,정교하게 밀착되고 고급스러운 광택감이 오래 유지되는 스틱 파운데이션,파운데이션,베이스,지성,,22
